Period,Total,Price Band,percentage
2017Q2 ,100,"$125,000 - $149,999",2
2017Q3 ,100,"$125,000 - $149,999",2
2017Q4 ,100,"$125,000 - $149,999",2
2018Q1 ,100,"$125,000 - $149,999",2
2018Q2 ,100,"$125,000 - $149,999",2
2018Q3 ,100,"$125,000 - $149,999",1
2018Q4 ,100,"$125,000 - $149,999",2
2019Q1 ,100,"$125,000 - $149,999",2
2019Q2 ,100,"$125,000 - $149,999",1
2019Q3 ,100,"$125,000 - $149,999",1
2019Q4 ,100,"$125,000 - $149,999",1
2020Q1 ,100,"$125,000 - $149,999",1
2020Q2 ,100,"$125,000 - $149,999",1
2020Q3 ,100,"$125,000 - $149,999",(Z)
2020Q4 ,100,"$125,000 - $149,999",(Z)
2021Q1 ,100,"$125,000 - $149,999",(Z)
2021Q2 ,100,"$125,000 - $149,999",(Z)
2021Q3 ,100,"$125,000 - $149,999",(Z)
2021Q4 ,100,"$125,000 - $149,999",(Z)
2022Q1 ,100,"$125,000 - $149,999",(Z)
2022Q2 ,100,"$125,000 - $149,999",(Z)
2022Q3 ,100,"$125,000 - $149,999",(Z)
2022Q4 ,100,"$125,000 - $149,999",(Z)
2023Q1 ,100,"$125,000 - $149,999",(Z)
2023Q2 ,100,"$125,000 - $149,999",(Z)
2023Q3 ,100,"$125,000 - $149,999",(Z)
2002Q1 ,100,"$149,999  - $199,999",25
2002Q2 ,100,"$149,999  - $199,999",24
2002Q3 ,100,"$149,999  - $199,999",26
2002Q4 ,100,"$149,999  - $199,999",24
2003Q1 ,100,"$149,999  - $199,999",24
2003Q2 ,100,"$149,999  - $199,999",25
2003Q3 ,100,"$149,999  - $199,999",25
2003Q4 ,100,"$149,999  - $199,999",24
2004Q1 ,100,"$149,999  - $199,999",21
2004Q2 ,100,"$149,999  - $199,999",21
2004Q3 ,100,"$149,999  - $199,999",22
2004Q4 ,100,"$149,999  - $199,999",21
2005Q1 ,100,"$149,999  - $199,999",20
2005Q2 ,100,"$149,999  - $199,999",21
2005Q3 ,100,"$149,999  - $199,999",21
2005Q4 ,100,"$149,999  - $199,999",17
2006Q1 ,100,"$149,999  - $199,999",20
2006Q2 ,100,"$149,999  - $199,999",20
2006Q3 ,100,"$149,999  - $199,999",22
2006Q4 ,100,"$149,999  - $199,999",19
2007Q1 ,100,"$149,999  - $199,999",20
2007Q2 ,100,"$149,999  - $199,999",22
2007Q3 ,100,"$149,999  - $199,999",20
2007Q4 ,100,"$149,999  - $199,999",23
2008Q1 ,100,"$149,999  - $199,999",21
2008Q2 ,100,"$149,999  - $199,999",21
2008Q3 ,100,"$149,999  - $199,999",22
2008Q4 ,100,"$149,999  - $199,999",23
2009Q1 ,100,"$149,999  - $199,999",26
2009Q2 ,100,"$149,999  - $199,999",25
2009Q3 ,100,"$149,999  - $199,999",27
2009Q4 ,100,"$149,999  - $199,999",24
2010Q1 ,100,"$149,999  - $199,999",23
